,feature_extractor,model,weighted_f1,macro_f1,roc_auc,accuracy,best_params
1,Word2Vec,Random Forest,0.7542,0.7544,0.9099,0.7541,"{'n_estimators': 300, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'sqrt'}"
2,Word2Vec,XGBoost,0.7289,0.7289,0.911,0.7295,"{'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.1, 'subsample': 0.7, 'colsample_bytree': 0.8, 'reg_alpha': 0.1}"
3,TF-IDF,Random Forest,0.727,0.7266,0.8916,0.7295,"{'n_estimators': 300, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'sqrt'}"
4,Word2Vec,Decision Tree,0.7041,0.7038,0.7978,0.7049,"{'max_depth': 5, 'criterion': 'gini', 'min_samples_split': 2}"
5,TF-IDF,XGBoost,0.6627,0.6625,0.846,0.6639,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': 0.05, 'subsample': 0.7, 'colsample_bytree': 0.7, 'reg_alpha': 0.1}"
6,FastText,Random Forest,0.6314,0.6307,0.8203,0.6311,"{'n_estimators': 300, 'max_depth': None, 'min_samples_leaf': 1, 'max_features': 'sqrt'}"
7,FastText,XGBoost,0.6102,0.6092,0.834,0.6148,"{'n_estimators': 100, 'max_depth': 5, 'learning_rate': 0.1, 'subsample': 0.7, 'colsample_bytree': 0.8, 'reg_alpha': 0.1}"
8,FastText,Decision Tree,0.5884,0.588,0.7219,0.5902,"{'max_depth': 15, 'criterion': 'gini', 'min_samples_split': 10}"
9,TF-IDF,Decision Tree,0.5745,0.5748,0.7514,0.582,"{'max_depth': 10, 'criterion': 'entropy', 'min_samples_split': 5}"
